股票代码,股票简称,时间,持有券商家数,持股变化,持股总数,占本股比例,持股变动数值,持股变动比例%
002697,红旗连锁,2020-03-31,4,增持,223600,0.01644118,223600,100
300413,芒果超媒,2020-03-31,4,减持,42150,0.00236748,-43050,-50.5281690140845
300450,先导智能,2020-03-31,4,减持,1579944,0.17924451,-178500,-10.1510198789384
300142,沃森生物,2020-03-31,4,减持,137200,0.00892395,-240700,-63.6940989679809
001979,招商蛇口,2020-03-31,4,减持,897800,0.01133255,-152600,-14.5277989337395
300529,健帆生物,2020-03-31,4,减持,76900,0.01836798,-145034,-65.3500590265574
002812,恩捷股份,2020-03-31,4,减持,29500,0.00366291,-23000,-43.8095238095238
002821,凯莱英,2020-03-31,4,减持,56300,0.02433204,-78600,-58.2653817642698
300552,万集科技,2020-03-31,4,增持,7300,0.00664013,7300,100
603203,快克股份,2020-03-31,4,增持,1694056,1.07641731,1676056,9311.42222222222
603303,得邦照明,2020-03-31,4,增持,67792,0.01389992,24792,57.6558139534884
300595,欧普康视,2020-03-31,4,增持,33100,0.00818014,26720,418.808777429467
601952,苏垦农发,2020-03-31,4,增持,1317000,0.09557329,1317000,100
002876,三利谱,2020-03-31,4,增持,1023213,0.98385866,1006513,6027.02395209581
002869,金溢科技,2020-03-31,4,增持,10400,0.00862942,300,2.97029702970297
300639,凯普生物,2020-03-31,4,增持,1341500,0.63142995,1029460,329.912831688245
300731,科创新源,2020-03-31,4,减持,3918300,3.1379902,-68400,-1.71570471818798
300715,凯伦股份,2020-03-31,4,增持,1227994,0.71851382,1227994,100
603605,珀莱雅,2020-03-31,4,减持,96000,0.04769722,-740278,-88.5205637359825
300759,康龙化成,2020-03-31,4,增持,12000,0.0015106,12000,100
002959,小熊电器,2020-03-31,4,增持,23700,0.01975,23700,100
300825,阿尔特,2020-03-31,4,新进,170203,0.05568399,170203,0.05568399
601628,中国人寿,2020-03-31,3,增持,133811,0.00047342,73211,120.810231023102
000725,京东方A,2020-03-31,3,减持,570000,0.001638,-10377300,-94.7932366884985
600584,长电科技,2020-03-31,3,增持,36200,0.00225844,27800,330.952380952381
002294,信立泰,2020-03-31,3,减持,189465,0.01811301,-38800,-16.9977876590805
300347,泰格医药,2020-03-31,3,减持,4100,0.00054702,-29073,-87.6405510505532
002179,中航光电,2020-03-31,3,减持,14250,0.00129439,-230750,-94.1836734693878
000965,天保基建,2020-03-31,3,增持,12954243,1.16722674,2732594,26.7333969303779
000963,华东医药,2020-03-31,3,减持,226457,0.01294181,-22700086,-99.0122496880581
600346,恒力石化,2020-03-31,3,减持,61900,0.00087937,-68195471,-99.9093138234111
300232,洲明科技,2020-03-31,3,增持,348500,0.03546616,203691,140.661837316741
002123,梦网集团,2020-03-31,3,减持,346338,0.04245635,-51000,-12.8354197182248
600004,白云机场,2020-03-31,3,减持,969600,0.04685596,-307600,-24.0839336047604
601988,中国银行,2020-03-31,3,减持,16800,5.71E-06,-7128260,-99.7648725133169
002129,中环股份,2020-03-31,3,增持,1610000,0.05780645,1360000,544
600461,洪城水业,2020-03-31,3,增持,10431970,1.10037427,26000,0.249856572717392
002439,启明星辰,2020-03-31,3,增持,83740,0.00896974,83740,100
600085,同仁堂,2020-03-31,3,减持,88000,0.00641648,-3637298,-97.6377728707878
600886,国投电力,2020-03-31,3,增持,1342622,0.0197851,1200322,843.515108924807
002508,老板电器,2020-03-31,3,减持,24800,0.00261321,-134600,-84.4416562107905
002044,美年健康,2020-03-31,3,减持,199929,0.00510033,-19323332,-98.975944643674
300320,海达股份,2020-03-31,3,增持,6776010,1.12701674,110000,1.65016254101029
